2025-07-15 03:01:52,184 - DEBUG - 日志配置完毕
2025-07-15 03:01:52,184 - DEBUG - ============================================================
2025-07-15 03:01:53,659 - INFO - tokens per iteration will be: 491,520
2025-07-15 03:01:53,659 - INFO - found vocab_size = 3075 (inside data\meta.pkl)
2025-07-15 03:01:53,659 - INFO - Initializing a new model from scratch
2025-07-15 03:02:33,584 - INFO - step 0: train loss 8.1719, val loss 8.1681
2025-07-15 03:21:36,486 - INFO - iter 99: loss 5.0361, time 11430.52ms, mfu 8.79%
2025-07-15 03:21:47,842 - INFO - iter 100: loss 4.9005, time 11356.86ms, mfu 8.80%
2025-07-15 03:21:59,197 - INFO - iter 101: loss 5.0316, time 11352.23ms, mfu 8.80%
2025-07-15 03:22:10,548 - INFO - iter 102: loss 4.8932, time 11346.58ms, mfu 8.81%
2025-07-15 03:22:21,896 - INFO - iter 103: loss 4.9138, time 11350.32ms, mfu 8.81%
2025-07-15 03:22:33,255 - INFO - iter 104: loss 4.7855, time 11359.78ms, mfu 8.81%
2025-07-15 03:22:44,660 - INFO - iter 105: loss 4.8799, time 11404.08ms, mfu 8.81%
2025-07-15 03:22:56,057 - INFO - iter 106: loss 4.8569, time 11398.53ms, mfu 8.81%
2025-07-15 03:23:07,481 - INFO - iter 107: loss 4.8377, time 11421.80ms, mfu 8.81%
2025-07-15 03:23:18,871 - INFO - iter 108: loss 4.7571, time 11393.22ms, mfu 8.81%
2025-07-15 03:23:30,322 - INFO - iter 109: loss 4.8496, time 11448.88ms, mfu 8.80%
2025-07-15 03:23:41,709 - INFO - iter 110: loss 4.7265, time 11386.59ms, mfu 8.81%
2025-07-15 03:23:53,121 - INFO - iter 111: loss 4.7906, time 11412.64ms, mfu 8.80%
2025-07-15 03:24:04,484 - INFO - iter 112: loss 4.7350, time 11364.89ms, mfu 8.81%
2025-07-15 03:24:15,890 - INFO - iter 113: loss 4.5701, time 11402.48ms, mfu 8.81%
2025-07-15 03:24:27,294 - INFO - iter 114: loss 4.7733, time 11402.06ms, mfu 8.81%
2025-07-15 03:24:38,652 - INFO - iter 115: loss 4.5928, time 11362.68ms, mfu 8.81%
2025-07-15 03:24:50,009 - INFO - iter 116: loss 4.6518, time 11352.26ms, mfu 8.81%
2025-07-15 03:25:01,360 - INFO - iter 117: loss 4.5911, time 11352.72ms, mfu 8.82%
